ID;Anime;Character;Quote;;;;;;;;
0;(Soul Eater);Soul Eater;In the end the shape and form don't matter at all, it's only the soul that matters, right? Nothing else.;;;;;;;;
1;(ReLIFE);Ooga Kazuomi;I'm still a man too, I wanted to look calm and composed in front of everyone. Especially in front of the one I'm in love with.;;;;;;;;
2;(Psycho-Pass Extended Edition);Makishima Shougo;Clausewitz, he pointed out that no matter how carefully one plans, on the battlefield, even the smallest of details can cause setbacks. Regardless of how well-thought it is, armchair strategizing only works in the realm of theory. Unexpected troubles, or uncontrollable factors such as weather. Operations face those sorts of troubles. They are the cause of strife on the battlefield.;;;;;;;;
3;(Naruto);Pain;Because of the existence of love - sacrifice is born. As well as hate. Then one comprehends... one knows PAIN.;;;;;;;;
4;(Detective Conan);Ran Mouri;Courage is a word of justice. It means the quality of mind that enables one to face apprehension with confidence and resolution. It is not right to use it as an excuse to kill someone.;;;;;;;;
5;(Death Parade);Nona;Everyone Makes Mistakes. But people's feelings can manifest through the most subtle of expressions.;;;;;;;;
6;(Darker than Black - Kuro no Keiyakusha: Gaiden);Hei;The truth is everyone is going to hurt you, you just got to find the ones worth suffering for.;;;;;;;;
7;(ReLIFE);Kaizaki Arata;Slowly, by spending time together with that person, your love for him will grow bigger.;;;;;;;;
8;(Haikyuu!! Second Season);Shōyō Hinata;It's best to go up against strong guys, if you want to get stronger.;;;;;;;;
9;(Nekomonogatari: Kuro);Tsukihi Araragi;Mistaking lust for love shows that you're caught in an inflationary spiral of sexual frustration.;;;;;;;;
10;(Hyouka);Oreki Houtarou;The inexperienced draw attention by acting differently.;;;;;;;;
11;(Youjo Senki);Tanya Degurechaff;You should try persuasion when people are mentally defenseless. The fascist who proposed that was a demonic genius.;;;;;;;;
12;(Bungou Stray Dogs 2nd Season);Ryuunosuke Akutagawa;The words of your past are fundamentally unrelated to who you are now.;;;;;;;;
13;(Fullmetal Alchemist: Brotherhood);Father;Humans who would dare to play God must pay a steep price for their arrogance, that is Truth.;;;;;;;;
14;(Tokyo Ghoul √A);Kaneki Ken;"""Never trust anyone too much... Remember the devil was once an angel...""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
16;(Boku wa Tomodachi ga Sukunai NEXT);Sena Kashiwazaki;There are two kinds of girls in this world. Lovely girls who can get along with me. And all the bitches who can't;;;;;;;;
17;(Joker Game);Lieutenant Colonel Yuuki;Women tend to kill when it's not necessary. They kill for reasons of passion. For trivial reasons like love and hate. ;;;;;;;;
18;(Avatar: The Last Airbender);Aang;If I try, I fail. If i don't try i'm never going to get it.;;;;;;;;
19;(Charlotte);Yuu Otosaka;DEATH is so unfair. It comes to those who don't need it. But not the people who are asking for it.;;;;;;;;
20;(Charlotte);Yuu Otosaka;In this world, nobody is free. Even the flying birds are chained to the sky.;;;;;;;;
21;(Gekijōban Gintama Kanketsu-hen: Yorozuya yo Eien Nare);Gintoki Sakata;Even if you lose all memory in your head, the ones engraved in your heart and the ones that exist in your soul will never disappear, no matter what happens.;;;;;;;;
22;(Naruto Shippuuden);Sasuke Uchiha;No man chooses evil because it is evil;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
25;(Little Busters!);Komari Kamikita;Losing something is sad. Even when I lose something as tiny as a worn-out eraser, I feel pretty down for a day or two. That's why I'm looking for him.;;;;;;;;
26;(Little Busters!);Komari Kamikita;There are all sorts of mysteries in this world, like snacks and candy and sweets falling from the sky!;;;;;;;;
27;(Fairy Tail);Zeref;If this world continues to reject me, then I shall reject the world.;;;;;;;;
28;(Aoharu x Kikanjuu);Tachibana Hotaru;"""... Although this won't happen instantly, as long as you have the thought, you will have a chance. Because at the moment you want to change, you have already taken the first step to changing.""";;;;;;;;
29;(Subete ga F ni Naru);Souhei Saikawa;Luxury means something with no meaning at all;;;;;;;;
30;(Danganronpa The Animation);Junko Enoshima;For me, despair is not a goal, or a set of principles, or a lifestyle, or even an instinct... It's what defines me as Junko Enoshima! It's just my characterization! That's why I'm able to pursue despair with such purity!;;;;;;;;
31;(Ookami Shoujo To Kuro Ouji);Kyouya Sata;It doesn't matter how much trash you pick up. You just have a pile of trash.;;;;;;;;
32;(Ookami Shoujo To Kuro Ouji);Kyouya Sata;Is that all your feelings have to offer? Go ahead. Try to wrench open my heart. That's the only way you'll get me.;;;;;;;;
33;(Hotarubi no Mori e);Gin;When I'm away from you, even though I can't be around crowds, I want to go see you.;;;;;;;;
34;(Assassination Classroom);Karma Akabane;Even if the questions change, it makes no difference to me.;;;;;;;;
35;(Hunter X Hunter);Shalnark;But the big difference is who I work for. I'd rather die than be a yes-man to someone I don't even like.;;;;;;;;
36;(Fairy Tail);Gildarts Clive;"Fear is ""evil"", it tells your weakness. If you can know your weakness, people become strong and gentle. ";;;;;;;;
37;(Date A Live);Kotori Itsuka;The closest thing to being cared for is to care for someone else.;;;;;;;;
38;(Fullmetal Alchemist: Brotherhood);King Bradley;"""Why must everyone make such a fuss over the death of a single soldier? The moment a soldier dons his uniform, he accepts the reality that he might be buried in it.""";;;;;;;;
39;(Date A Live);Shido Itsuka;Even if people refuse to accept you, it doesn't change the fact that I accept you and don't want you to leave.;;;;;;;;
